module	CGG100272	CGG100534	CGG101233	MUTREF1	MUTREF10	MUTREF2	MUTREF3	MUTREF4	MUTREF5	MUTREF6	MUTREF7	MUTREF8	MUTREF9	NEO105	NEO137	NEO938	Streptococcus_agalactiae	Streptococcus_dysgalactiae	Streptococcus_equi	Streptococcus_gallolyticus	Streptococcus_gordonii	Streptococcus_iniae	Streptococcus_intermedius	Streptococcus_lutetiensis	Streptococcus_parauberis	Streptococcus_pneumoniae	Streptococcus_pyogenes	Streptococcus_sobrinus	Streptococcus_suis	Streptococcus_thermophilus	Streptococcus_uberis	VK63
M00017	0.8571428571428571	0.7142857142857143	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.7142857142857143	0.42857142857142855	0.42857142857142855	0.8571428571428571	0.8571428571428571	0.5714285714285714	0.7142857142857143	0.8571428571428571	0.5714285714285714	0.8571428571428571	0.14285714285714285	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.5714285714285714	0.8571428571428571
M00018	1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.8
M00019	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	1.0	1.0	0.25	0.25	1.0	0.25	1.0	0.25	1.0	1.0	1.0	0.25	1.0
M00020	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.0	1.0	0.3333333333333333	1.0	0.3333333333333333	1.0	1.0	0.3333333333333333	0.0	1.0	1.0	1.0	1.0	0.6666666666666666
M00021	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5
M00022	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.75	1.0	0.75	0.75	1.0	1.0	0.75	1.0	1.0	0.5	1.0	0.75	1.0	1.0	1.0	0.5	0.5
M00023	1.0	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
M00024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.0
M00025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.5	0.5	0.0	0.5	0.0	0.5	0.5	0.5	0.0	0.0
M00026	1.0	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.8333333333333334
M00027	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	0.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	0.0	0.3333333333333333	0.0	0.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0	0.3333333333333333	0.3333333333333333
M00028	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.25	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.75
M00029	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.2	0.2	0.6	0.6	0.6	0.2	0.6	0.6	0.4	0.2	0.6	0.6	0.6	0.6	0.4
M00030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.125	0.0
M00032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0
M00033	0.4	0.2	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.4	0.4
